	Year_Birth	Kidhome	Marital_Status	Teenhome	movies	ID
35	1951	1	Single	1	['125759' '132' '13417' '235708' '71189']	35
36	1970	0	Married	1	['34573' '22072' '62447' '16867' '394374']	36
37	1976	1	Married	0	['253284' '363354' '86241' '134890' '127521']	37
38	1973	0	Widow	1	['137429' '112287' '12600' '95853' '91817']	38
39	1943	0	Divorced	0	['8332' '108' '26969' '258450' '273404']	39
40	1980	0	Married	1	['69499' '357424' '507' '1590' '45156']	40
41	1985	1	Married	0	['87151' '33' '248946' '15331' '197772']	41
42	1957	0	Together	1	['39693' '48714' '1793' '21786' '12289']	42
43	1959	0	Single	0	['403' '261157' '296557' '21972' '36677']	43
44	1975	1	Married	0	['28068' '206034' '411456' '361866' '290365']	44
45	1976	0	Single	0	['11556' '71688' '189279' '49092' '25695']	45
46	1996	0	Married	0	['48426' '1405' '28663' '92038' '17478']	46
47	1968	1	Together	0	['73919' '195204' '14684' '112087' '108933']	47
48	1951	2	Single	1	['182972' '262296' '124134' '106219' '51594']	48
49	1954	1	Married	1	['202141' '79361' '40506' '23965' '188509']	49
50	1957	0	Widow	1	['45560' '14439' '11667' '87392' '15102']	50
51	1964	0	Married	0	['64334' '90376' '28772' '9477' '147939']	51
52	1977	1	Single	0	['64655' '265180' '197053' '27204' '79519']	52
53	1977	0	Divorced	0	['220443' '47714' '57825' '61361' '55412']	53
54	1978	1	Married	1	['276220' '1894' '308418' '24126' '14799']	54
55	1955	0	Together	0	['30379' '118549' '18680' '39130' '196649']	55
56	1966	0	Divorced	0	['91292' '468707' '159095' '18373' '48846']	56
57	1988	1	Single	0	['39867' '28178' '299309' '113148' '46258']	57
58	1982	1	Single	0	['54182' '6414' '17006' '16980' '43962']	58
59	1968	0	Married	1	['2047' '74126' '28988' '152618' '120922']	59
60	1982	0	Single	0	['59117' '41670' '16800' '157674' '64835']	60
61	1975	1	Together	1	['136254' '26131' '245913' '2300' '38410']	61
62	1952	0	Single	1	['290672' '31789' '96172' '201639' '13903']	62
63	1951	0	Widow	1	['8319' '29009' '14244' '24569' '44081']	63
64	1948	0	Together	0	['7269' '31804' '34207' '3041' '312796']	64
65	1971	1	Married	0	['27904' '5483' '248741' '130627' '88059']	65
66	1967	1	Together	1	['24349' '2813' '86666' '50329' '88012']	66
67	1979	0	Single	1	['18547' '26826' '28757' '223202' '27017']	67
68	1958	0	Together	1	['50953' '376228' '14859' '24221' '85262']	68
69	1970	1	Together	2	['1537' '17818' '130374' '162437' '11703']	69
70	1954	0	Married	0	['84099' '66113' '37779' '40102' '49409']	70
71	1973	1	Married	0	['248' '16643' '52864' '63327' '42307']	71
72	1959	0	Married	1	['72051' '297362' '50848' '26654' '277237']	72
73	1975	1	Married	1	['32615' '257' '376681' '123105' '47104']	73
74	1952	0	Married	0	['15875' '280913' '418072' '53414' '38264']	74
75	1977	1	Divorced	0	['252385' '178927' '25248' '15392' '64807']	75
76	1972	0	Married	0	['10017' '103613' '7291' '72386' '72152']	76
77	1976	0	Single	0	['43361' '335409' '87063' '334681' '297482']	77
78	1976	0	Together	0	['20513' '19460' '14033' '111794' '199565']	78
79	1965	0	Together	0	['9610' '375290' '255496' '38963' '3041']	79
80	1985	1	Single	0	['2172' '24566' '180759' '5923' '14771']	80
81	1969	1	Married	0	['241763' '17009' '138222' '47232' '377150']	81
82	1973	1	Married	0	['12476' '5961' '76642' '89345' '140448']	82
83	1963	0	Together	0	['31151' '255575' '302401' '293264' '257445']	83
84	1987	0	Divorced	0	['92501' '128142' '76099' '309028' '19398']	84
85	1960	1	Married	1	['87835' '63401' '86304' '47365' '27742']	85
86	1970	1	Married	1	['26155' '80787' '36877' '37626' '433471']	86
87	1957	0	Single	1	['51986' '43049' '316074' '82967' '43143']	87
88	1973	0	Married	0	['84350' '45608' '10719' '164379' '85644']	88
89	1967	0	Together	1	['48350' '13650' '53301' '117969' '31703']	89
90	1957	2	Married	1	['31460' '132725' '199916' '30361' '77360']	90
91	1957	1	Single	1	['1955' '13362' '87936' '170967' '57118']	91
92	1973	0	Together	0	['31242' '72317' '58923' '651' '12593']	92
93	1972	1	Single	0	['61722' '129119' '71117' '254725' '46863']	93
94	1970	1	Married	0	['24963' '26121' '118430' '10804' '321612']	94
95	1983	1	Married	0	['76117' '223318' '15278' '307663' '317121']	95
96	1960	0	Widow	1	['75350' '59392' '46375' '374618' '44442']	96
97	1972	1	Divorced	1	['39062' '374606' '4786' '4977' '212865']	97
98	1951	0	Married	0	['140383' '41183' '18823' '413806' '38274']	98
99	1983	0	Married	0	['346388' '321191' '57768' '62495' '173689']	99
100	1960	0	Single	1	['51938' '146449' '65632' '55457' '31506']	100
101	1959	0	Single	1	['11412' '159186' '113175' '26691' '14556']	101
102	1979	0	Together	1	['230779' '30554' '394661' '55687' '14547']	102
103	1945	0	Married	0	['197733' '77670' '81001' '131792' '61266']	103
104	1959	0	Married	0	['328820' '13156' '10069' '4832' '70584']	104
105	1979	1	Together	0	['9980' '67307' '195311' '176896' '310442']	105
106	1964	1	Married	1	['52947' '102197' '105153' '362045' '286987']	106
107	1969	0	Married	2	['33813' '21185' '118809' '52628' '197491']	107
108	1978	1	Single	0	['37352' '309809' '159389' '65489' '121835']	108
109	1960	0	Married	0	['263032' '8989' '14527' '36491' '19968']	109
110	1979	0	Together	1	['31701' '186399' '259634' '48346' '384798']	110
111	1991	0	Single	0	['130824' '48409' '11330' '278978' '84784']	111
112	1963	0	Together	1	['29914' '8951' '55739' '89156' '134680']	112
113	1991	0	Single	0	['63787' '33380' '22264' '34188' '238475']	113
114	1980	1	Married	0	['180705' '141581' '27505' '36047' '50758']	114
115	1962	1	Single	1	['19884' '206157' '110671' '9547' '45588']	115
116	1970	0	Married	0	['191465' '14613' '10111' '14220' '8491']	116
117	1978	1	Married	0	['86133' '261825' '14584' '278774' '72984']	117
118	1967	1	Together	1	['49633' '46948' '8267' '22572' '173557']	118
119	1969	1	Together	0	['72495' '174928' '9272' '88288' '16056']	119
120	1953	0	Together	1	['114189' '311585' '25114' '10497' '91255']	120
121	1967	1	Single	0	['55154' '171910' '340194' '9589' '32911']	121
122	1985	2	Married	0	['69990' '13515' '418078' '85424' '55032']	122
123	1976	1	Divorced	0	['169692' '10443' '39987' '10395' '62783']	123
124	1983	0	Single	0	['94716' '79699' '112234' '9941' '61803']	124
125	1965	0	Together	0	['37941' '197491' '41959' '10152' '76575']	125
126	1984	0	Single	0	['199929' '13676' '28526' '335051' '122047']	126
127	1953	1	Married	1	['334394' '371442' '62196' '11367' '16220']	127
128	1961	0	Married	1	['422550' '71921' '17447' '16157' '324308']	128
129	1956	1	Together	1	['60082' '29694' '63472' '136795' '32173']	129
130	1952	0	Married	1	['169089' '274388' '89647' '11980' '43015']	130
131	1958	1	Alone	1	['199151' '37183' '99920' '35813' '78308']	131
132	1969	0	Married	0	['116997' '9268' '268917' '112739' '37609']	132
133	1963	0	Married	1	['32560' '303296' '19898' '56383' '382143']	133
134	1964	1	Married	1	['15247' '209204' '52939' '61495' '225975']	134
135	1967	0	Together	0	['68828' '43819' '90376' '23397' '62383']	135
136	1976	1	Divorced	0	['161238' '19167' '865' '47477' '2895']	136
137	1959	2	Married	1	['377158' '37603' '56049' '14407' '236007']	137
138	1973	1	Alone	1	['158219' '11007' '131507' '129830' '41577']	138
139	1965	1	Divorced	1	['49957' '98644' '32319' '377278' '86837']	139
140	1992	0	Single	0	['39965' '58507' '292063' '325780' '108646']	140
141	1976	0	Together	1	['466' '5067' '128042' '47724' '163839']	141
142	1962	0	Married	0	['190876' '40973' '19326' '36129' '206099']	142
143	1974	0	Single	1	['32099' '121830' '125150' '117316' '66526']	143
144	1988	1	Together	0	['83735' '166007' '171776' '10439' '53828']	144
145	1976	0	Married	2	['3767' '295887' '41324' '8410' '65799']	145
146	1975	1	Married	0	['47739' '266525' '76750' '36738' '104214']	146
147	1981	1	Together	0	['77459' '421851' '49264' '35922' '45549']	147
148	1973	2	Married	1	['38746' '238006' '210234' '282762' '148597']	148
149	1966	0	Married	0	['5764' '94066' '352694' '43806' '117343']	149
150	1953	0	Married	2	['37048' '1058' '134223' '142918' '28051']	150
151	1969	0	Married	1	['269' '113082' '53765' '53598' '352917']	151
152	1972	0	Together	1	['36337' '24331' '253290' '100813' '84364']	152
153	1988	1	Alone	0	['259075' '27010' '54627' '439' '42231']	153
154	1952	0	Together	1	['157823' '192137' '57342' '265966' '63266']	154
155	1949	0	Together	0	['58589' '11592' '300667' '38468' '96552']	155
156	1958	0	Single	1	['34509' '418072' '343887' '16651' '51521']	156
157	1978	1	Single	2	['9453' '69848' '16328' '442752' '154980']	157
158	1977	0	Together	1	['11364' '176627' '11482' '277399' '13442']	158
159	1955	0	Single	0	['37603' '106826' '742' '333089' '74286']	159
160	1958	2	Single	1	['228294' '378092' '28333' '353610' '53985']	160
161	1945	0	Married	0	['15186' '10744' '104221' '72744' '35343']	161
162	1984	1	Married	0	['51679' '70656' '8355' '267955' '11533']	162
163	1975	0	Divorced	0	['334531' '15952' '82424' '145059' '15915']	163
164	1973	0	Married	1	['17906' '19392' '37938' '51290' '32130']	164
165	1966	2	Together	1	['138907' '334939' '784' '33774' '627']	165
166	1953	0	Divorced	0	['28410' '127413' '137174' '8286' '65799']	166
167	1959	0	Divorced	0	['98357' '10350' '100341' '24140' '296523']	167
168	1988	0	Single	0	['25114' '60810' '282313' '13919' '83589']	168
169	1957	1	Together	1	['129251' '18825' '54436' '4201' '194097']	169
170	1965	1	Together	1	['24729' '261036' '394412' '178603' '13275']	170
171	1982	1	Married	0	['352205' '126314' '61198' '22947' '47608']	171
172	1970	2	Married	0	['19809' '283703' '8075' '354625' '14158']	172
173	1959	1	Together	1	['44663' '43497' '168164' '92397' '450225']	173
174	1967	0	Single	1	['42825' '339428' '80294' '531' '215848']	174
175	1975	0	Married	1	['85255' '127517' '21801' '25594' '291537']	175
176	1948	0	Married	0	['160155' '72913' '260514' '97035' '203829']	176
177	1970	1	Married	1	['386172' '120249' '77165' '411822' '243664']	177
178	1959	2	Together	1	['32688' '43260' '316883' '94544' '1443']	178
179	1951	0	Married	0	['74831' '144271' '256092' '361181' '1666']	179
180	1976	0	Married	1	['187672' '27444' '129' '106824' '156339']	180
181	1988	1	Married	0	['34194' '116' '61203' '72358' '43337']	181
182	1946	0	Married	0	['121555' '138502' '174754' '16225' '146364']	182
183	1984	1	Married	0	['76202' '390396' '68252' '96716' '544']	183
184	1961	0	Married	0	['63572' '104549' '87415' '297399' '46932']	184
185	1983	1	Married	0	['11967' '87081' '111854' '49396' '47089']	185
186	1970	0	Single	1	['455601' '411012' '30246' '28093' '231625']	186
187	1966	0	Married	1	['323656' '30702' '27362' '92989' '8669']	187
188	1976	0	Married	0	['250093' '104927' '293553' '40866' '36094']	188
189	1964	1	Married	1	['4271' '138544' '131781' '427342' '107311']	189
190	1978	1	Together	0	['76170' '377448' '84119' '22177' '33116']	190
191	1989	0	Together	0	['43626' '83479' '39293' '248211' '37112']	191
192	1900	1	Divorced	0	['117800' '46744' '256916' '9048' '253310']	192
193	1988	1	Married	0	['43364' '76341' '69315' '39108' '280617']	193
194	1973	1	Married	1	['214209' '42498' '40083' '171902' '14073']	194
195	1977	1	Married	1	['36119' '8055' '38021' '118309' '41628']	195
196	1980	0	Married	0	['201633' '25950' '9031' '50942' '16988']	196
197	1954	0	Married	0	['34090' '47363' '11015' '66812' '11071']	197
198	1954	0	Married	0	['40502' '61911' '210365' '178452' '287305']	198
199	1973	1	Single	1	['44890' '376934' '35690' '5965' '86821']	199
200	1952	0	Divorced	1	['116988' '315024' '25473' '95775' '260202']	200
201	1968	0	Single	0	['72375' '22130' '27605' '55180' '14353']	201
202	1978	0	Divorced	1	['55589' '43367' '177317' '52109' '72477']	202
203	1977	0	Together	0	['3021' '320146' '170767' '10546' '37464']	203
204	1965	1	Single	1	['42100' '85052' '5923' '120785' '52188']	204
205	1984	0	Single	0	['317744' '99877' '103590' '44411' '8997']	205
206	1988	1	Together	0	['92352' '36895' '436305' '111443' '106876']	206
207	1963	1	Divorced	1	['256520' '7270' '164144' '48153' '51248']	207
208	1966	0	Married	1	['21539' '92469' '15300' '11675' '407803']	208
209	1954	0	Divorced	1	['108437' '36730' '95514' '312623' '390409']	209
210	1956	0	Together	1	['113660' '85615' '40572' '182' '25903']	210
211	1954	0	Together	0	['42436' '352387' '188465' '27105' '52067']	211
212	1968	1	Married	1	['37135' '37204' '112283' '208286' '109301']	212
213	1974	1	Together	1	['70026' '12800' '59146' '41279' '39225']	213
214	1985	0	Married	0	['70191' '273128' '5421' '66034' '21231']	214
215	1977	1	Married	0	['48373' '51822' '29911' '64071' '1595']	215
216	1978	2	Single	1	['128960' '172008' '28646' '41384' '144804']	216
217	1948	0	Married	0	['80470' '25132' '75733' '72933' '161277']	217
218	1954	0	Widow	1	['128073' '56761' '421552' '11054' '43680']	218
219	1980	1	Together	0	['86577' '44801' '54559' '61361' '242458']	219
220	1988	1	Together	0	['30792' '226167' '28737' '44672' '90272']	220
221	1969	0	Married	0	['31938' '4689' '152747' '1452' '10868']	221
222	1970	0	Together	2	['414779' '68029' '56245' '29116' '52685']	222
223	1980	1	Married	0	['71552' '14854' '154211' '71689' '31254']	223
224	1962	0	Divorced	1	['161885' '146919' '341559' '110282' '108639']	224
225	1978	1	Together	0	['41665' '4780' '4868' '13617' '280913']	225
226	1976	0	Together	1	['69559' '9594' '20701' '11844' '209401']	226
227	1952	0	Divorced	1	['65586' '250572' '325789' '70703' '301491']	227
228	1972	0	Married	0	['337965' '18079' '11041' '97361' '27503']	228
229	1986	1	Together	0	['198453' '395992' '26803' '433067' '579']	229
230	1966	1	Single	1	['72648' '126076' '107942' '10485' '59533']	230
231	1962	0	Divorced	1	['51917' '360605' '14818' '11798' '9687']	231
232	1971	1	Together	0	['389115' '144560' '25353' '27404' '38932']	232
233	1951	0	Single	0	['115665' '19094' '66487' '104697' '385736']	233
234	1965	0	Married	1	['34326' '79319' '15126' '10389' '62363']	234
235	1975	1	Married	0	['37556' '7183' '323027' '5493' '54257']	235
236	1982	1	Together	0	['400014' '36586' '11795' '35199' '28706']	236
237	1958	0	Single	1	['380734' '20684' '31245' '39231' '248781']	237
238	1973	1	Single	0	['194548' '16' '43922' '17278' '260899']	238
239	1893	0	Single	1	['429450' '68724' '20431' '75564' '107569']	239
240	1968	0	Widow	0	['23385' '45886' '284995' '171432' '36612']	240
241	1958	0	Together	1	['462' '128634' '106358' '96534' '43263']	241
242	1971	1	Single	0	['11198' '30345' '215999' '126963' '24625']	242
243	1990	0	Married	0	['31407' '13850' '26316' '237692' '1785']	243
244	1958	0	Married	1	['84099' '49950' '68337' '53456' '410']	244
245	1964	1	Married	1	['150029' '22379' '24959' '99916' '394415']	245
246	1972	1	Married	0	['10515' '260535' '212865' '147405' '9277']	246
247	1953	0	Married	1	['25467' '9311' '16857' '95242' '18897']	247
248	1988	0	Married	0	['42436' '39274' '205005' '11244' '31647']	248
249	1969	0	Together	1	['384371' '106406' '8439' '94649' '128625']	249
250	1975	1	Single	0	['12608' '118802' '147829' '78552' '115187']	250
251	1985	1	Single	0	['35197' '36692' '106326' '80278' '26155']	251
252	1974	0	Divorced	0	['49070' '41032' '11131' '174162' '129847']	252
253	1958	0	Together	0	['1770' '61803' '43353' '46594' '100898']	253
254	1967	1	Together	1	['261860' '13018' '198182' '422' '65481']	254
255	1974	1	Single	0	['174792' '306207' '172259' '126143' '270303']	255
256	1961	0	Together	1	['65092' '37941' '96713' '27585' '367538']	256
257	1964	0	Single	1	['172897' '14357' '37556' '3010' '371504']	257
258	1964	1	Single	1	['148753' '211233' '96419' '21794' '98162']	258
259	1957	2	Single	1	['45756' '11447' '38570' '11628' '12924']	259
260	1979	1	Divorced	0	['19654' '288931' '46998' '10699' '66526']	260
261	1968	0	Divorced	2	['55505' '319999' '331781' '15321' '16325']	261
262	1970	1	Married	0	['357529' '14306' '326923' '21070' '167284']	262
263	1978	1	Married	0	['75710' '70798' '45458' '15263' '39849']	263
264	1952	1	Together	1	['154653' '52780' '28062' '15436' '4703']	264
265	1966	1	Married	1	['127493' '531' '33725' '38455' '41078']	265
266	1963	0	Married	0	['12400' '139662' '67941' '14845' '45244']	266
267	1970	1	Married	1	['253315' '20360' '50646' '15468' '43188']	267
268	1970	0	Married	0	['41493' '92060' '264482' '27447' '355065']	268
269	1970	1	Together	0	['9886' '411638' '38523' '49491' '8289']	269
270	1953	0	Single	0	['299578' '99312' '269711' '334533' '85429']	270
271	1983	1	Single	0	['108345' '36767' '34943' '158011' '40507']	271
272	1975	0	Together	1	['14539' '14572' '8675' '20645' '53045']	272
273	1960	1	Married	1	['52216' '377462' '21375' '15582' '39781']	273
274	1963	1	Divorced	1	['27225' '229373' '247645' '211076' '129627']	274
275	1963	0	Together	1	['22843' '292498' '11496' '28635' '361249']	275
276	1956	0	Single	0	['18761' '56821' '61711' '9447' '108256']	276
277	1981	0	Together	0	['32480' '11406' '29989' '244838' '12085']	277
278	1986	0	Single	0	['11365' '39141' '43376' '219288' '380864']	278
279	1968	0	Divorced	1	['195841' '239367' '25744' '409820' '192133']	279
280	1981	1	Married	0	['200938' '35250' '24274' '15804' '376866']	280
281	1976	0	Together	1	['31654' '71754' '197089' '258514' '118624']	281
282	1946	0	Together	0	['83665' '106807' '25160' '35237' '11857']	282
283	1974	0	Together	1	['198240' '26815' '57393' '70282' '47921']	283
284	1975	1	Married	1	['72720' '55292' '3051' '22734' '20174']	284
285	1974	1	Married	0	['24993' '11076' '100402' '57757' '41468']	285
286	1952	0	Together	0	['312813' '68280' '197239' '288153' '346494']	286
287	1956	1	Together	1	['160297' '67822' '9439' '294991' '17401']	287
288	1966	0	Widow	0	['21764' '46432' '49354' '141714' '117730']	288
289	1949	0	Divorced	0	['21343' '59820' '29032' '20277' '16091']	289
290	1984	0	Together	0	['136437' '85162' '11613' '168399' '36261']	290
291	1969	1	Together	0	['108636' '41282' '52103' '257081' '15791']	291
292	1980	0	Married	0	['257698' '18560' '100351' '32688' '99513']	292
293	1971	2	Together	0	['139692' '132957' '173732' '202973' '48217']	293
294	1965	1	Together	1	['7008' '44766' '42767' '13068' '185591']	294
295	1952	0	Together	1	['18632' '220504' '140648' '126996' '238997']	295
296	1988	1	Divorced	0	['929' '22043' '161299' '260063' '148327']	296
297	1986	1	Together	0	['212156' '1372' '292538' '30102' '18897']	297
298	1982	0	Single	0	['139635' '59678' '48949' '346808' '27464']	298
299	1965	0	Divorced	1	['68774' '14462' '58043' '291871' '3513']	299
300	1958	1	Divorced	1	['37905' '83052' '365997' '1492' '53622']	300
301	1956	0	Together	1	['80527' '59120' '469172' '56832' '9879']	301
302	1978	1	Married	0	['54890' '43625' '332177' '8348' '208035']	302
303	1988	1	Single	0	['37218' '35646' '82776' '43643' '43884']	303
304	1984	1	Together	0	['47363' '33470' '32684' '27631' '77444']	304
305	1961	0	Married	0	['25073' '85616' '89488' '12716' '290825']	305
306	1966	0	Widow	0	['81521' '55960' '14837' '231020' '13755']	306
307	1947	0	Single	0	['20520' '325780' '95854' '92572' '12222']	307
308	1964	0	Married	1	['7290' '10102' '110029' '51878' '63624']	308
309	1992	0	Together	0	['98025' '204755' '34067' '73420' '26326']	309
310	1976	1	Divorced	0	['27116' '397339' '59950' '337339' '20067']	310
311	1967	2	Married	1	['27030' '49186' '39771' '44902' '418718']	311
312	1989	0	Married	0	['5485' '699' '27460' '26431' '293660']	312
313	1976	0	Single	0	['333669' '40080' '324572' '32627' '105770']	313
314	1966	1	Married	1	['11237' '137315' '533' '53905' '81887']	314
315	1956	1	Together	1	['161337' '86209' '35215' '65892' '214938']	315
316	1972	1	Married	1	['84178' '24398' '80992' '80713' '94587']	316
317	1985	1	Single	0	['54979' '15788' '83651' '43510' '104364']	317
318	1951	1	Married	1	['320028' '212843' '74306' '84100' '13220']	318
319	1970	1	Single	2	['155706' '53117' '35072' '329263' '256108']	319
320	1971	0	Married	1	['43438' '53178' '66084' '55125' '323967']	320
321	1974	1	Married	0	['205004' '315011' '241070' '14126' '11564']	321
322	1965	1	Divorced	1	['266022' '32213' '11629' '258450' '22318']	322
323	1961	0	Divorced	1	['76750' '34697' '38332' '152601' '42473']	323
324	1953	0	Single	1	['107942' '23172' '46373' '81332' '37517']	324
325	1957	0	Married	0	['297023' '126748' '93178' '63039' '285176']	325
326	1976	1	Divorced	0	['352342' '14114' '13579' '75282' '48315']	326
327	1984	1	Married	0	['109513' '95556' '43847' '31954' '87388']	327
328	1950	2	Married	1	['32568' '108241' '638' '19898' '182']	328
329	1986	1	Single	0	['53048' '815' '257249' '32868' '8696']	329
330	1983	1	Single	0	['12560' '60375' '20688' '422500' '109500']	330
331	1989	0	Single	0	['31979' '51247' '81527' '458335' '17606']	331
332	1956	0	Married	1	['357530' '79365' '15401' '182030' '82029']	332
333	1971	1	Married	0	['435473' '32052' '30566' '131770' '313943']	333
334	1983	1	Together	0	['116853' '10109' '296071' '26444' '11351']	334
335	1960	0	Divorced	2	['107246' '2275' '12699' '11708' '119353']	335
336	1968	0	Divorced	0	['52817' '82682' '374460' '44048' '76235']	336
337	1972	1	Married	0	['59722' '11198' '15182' '19445' '87090']	337
338	1965	0	Together	0	['260672' '7007' '315439' '25189' '172542']	338
339	1899	0	Together	0	['54544' '60730' '52949' '76059' '241432']	339
340	1988	0	Single	0	['12310' '10407' '15434' '84060' '95410']	340
341	1986	0	Divorced	0	['56115' '179798' '115872' '67377' '12311']	341
342	1969	0	Married	1	['355066' '6970' '96088' '42888' '8768']	342
343	1950	0	Together	1	['53935' '74645' '113178' '10248' '18920']	343
344	1973	1	Together	0	['369605' '63990' '250650' '62756' '261157']	344
345	1952	0	Divorced	0	['1251' '210691' '367493' '40206' '86647']	345
346	1965	1	Married	1	['279570' '376004' '209350' '219' '81716']	346
347	1970	0	Divorced	0	['57578' '270585' '41120' '102541' '61718']	347
348	1971	1	Widow	1	['326013' '88309' '17887' '1878' '87093']	348
349	1976	1	Married	0	['197849' '185546' '190582' '241432' '44281']	349
350	1957	0	Married	1	['97607' '46713' '144728' '278514' '3019']	350
351	1986	1	Married	0	['310589' '59426' '60769' '177155' '59965']	351
352	1966	0	Single	0	['36678' '12591' '31035' '390422' '94331']	352
353	1974	0	Married	0	['13496' '321640' '34760' '26618' '156415']	353
354	1976	0	Single	1	['23044' '8049' '225044' '28039' '259634']	354
355	1978	1	Single	1	['10726' '44950' '326262' '30977' '77241']	355
356	1955	0	Married	1	['181456' '11084' '393158' '55166' '65586']	356
357	1969	0	Married	0	['422878' '43749' '351097' '410118' '61888']	357
358	1943	0	Married	0	['333358' '189242' '79372' '166879' '13170']	358
359	1948	0	Together	2	['54744' '48227' '9285' '33280' '71189']	359
360	1957	0	Married	0	['170767' '20907' '22892' '198214' '14135']	360
361	1969	0	Widow	1	['27995' '389882' '20735' '25843' '39107']	361
362	1978	2	Married	0	['257200' '18948' '52936' '43754' '1702']	362
363	1978	1	Married	0	['206480' '5002' '159862' '13437' '118195']	363
364	1967	1	Married	1	['380622' '21742' '1265' '21024' '30554']	364
365	1969	0	Single	1	['253808' '19133' '51275' '56811' '26431']	365
366	1960	0	Married	0	['203071' '53198' '65679' '297239' '71138']	366
367	1976	1	Divorced	0	['123949' '33518' '15476' '14464' '40141']	367
368	1962	0	Together	0	['43035' '28073' '10805' '11194' '51590']	368
369	1975	0	Single	1	['252773' '70554' '410117' '28917' '216163']	369
370	1984	1	Married	0	['335791' '48412' '46260' '40658' '16308']	370
371	1975	1	Married	1	['383121' '63771' '43240' '199883' '266619']	371
372	1970	1	Single	0	['128048' '140413' '347344' '1824' '91618']	372
373	1966	0	Single	1	['35717' '47370' '8049' '16221' '146322']	373
374	1972	1	Single	1	['440145' '130002' '112454' '1643' '4839']	374
375	1975	1	Single	1	['18603' '19961' '31116' '14358' '762']	375
376	1970	0	Single	0	['173327' '658' '36165' '92809' '42427']	376
377	1989	1	Single	0	['61108' '36863' '152948' '89092' '201085']	377
378	1961	0	Together	1	['321' '81704' '29475' '331393' '13633']	378
379	1969	1	Single	0	['69921' '13672' '186759' '37526' '96995']	379
380	1969	2	Married	0	['133123' '1888' '407588' '770' '86597']	380
381	1985	1	Married	0	['65573' '225403' '28997' '25218' '101297']	381
382	1954	0	Widow	0	['359204' '48750' '22857' '1915' '41007']	382
383	1973	2	Married	1	['46212' '33994' '43028' '179105' '33495']	383
384	1981	1	Single	0	['51505' '453053' '172705' '80928' '284711']	384
385	1971	1	Single	0	['10269' '148558' '117553' '335724' '48268']	385
386	1968	0	Together	1	['22023' '84984' '353070' '4927' '281713']	386
387	1960	0	Together	1	['336666' '283302' '26378' '355111' '12435']	387
388	1949	0	Together	1	['35669' '31023' '10189' '3935' '332491']	388
389	1968	1	Divorced	1	['179837' '359364' '413049' '57573' '83295']	389
390	1979	0	Together	0	['51209' '11710' '71209' '9614' '114162']	390
391	1979	1	Together	0	['28032' '282225' '113582' '31010' '43475']	391
392	1993	0	Single	0	['62842' '67263' '217576' '43008' '44134']	392
393	1946	0	Married	0	['36130' '100089' '254277' '61488' '392629']	393
394	1968	0	Married	1	['136437' '161898' '267094' '15840' '27455']	394
395	1991	0	Together	0	['461257' '259557' '140161' '431714' '6470']	395
